StationID,TestMaterial,CompositeID,SampleDate,ParameterCode,SampleCollectionTime,SampleType,Qualifier,Result,Units,LabCode,Comments
GVWAT1,Creek Water,,2003-02-02,DO,10:36:00 AM,Average,,12.04,mg/L ppm,SBCK,
GVWAT1,Creek Water,,2003-02-02,DO % Sat,10:36:00 AM,Average,,114.7,% Sat,SBCK,
GVWAT1,Creek Water,,2003-02-02,pH,10:36:00 AM,Average,,7.9,pH,SBCK,
GVWAT1,Creek Water,,2003-02-02,Temp,10:36:00 AM,Average,,13.5,Deg C,SBCK,
GVWAT1,Creek Water,,2003-02-02,Temp,10:36:00 AM,Average,,14.6,Deg C,SBCK,
GVWAT1,Creek Water,,2003-02-02,TimeAtSite,10:36:00 AM,RESULTS,,1036,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2003-02-02,TURB,10:36:00 AM,Average,,2.01,NTU,SBCK,
GVWAT1,Creek Water,,2003-03-02,Conductivity,11:00:00 AM,Average,,1657,uS,SBCK,
GVWAT1,Creek Water,,2003-03-02,DO,11:00:00 AM,Average,,11.48,mg/L ppm,SBCK,
GVWAT1,Creek Water,,2003-03-02,DO % Sat,11:00:00 AM,Average,,109.1,% Sat,SBCK,
GVWAT1,Creek Water,,2003-03-02,pH,11:00:00 AM,Average,,7.7,pH,SBCK,
GVWAT1,Creek Water,,2003-03-02,Temp,11:00:00 AM,Average,,13.2,Deg C,SBCK,
GVWAT1,Creek Water,,2003-03-02,Temp,11:00:00 AM,Average,,13.5,Deg C,SBCK,
GVWAT1,Creek Water,,2003-03-02,TimeAtSite,11:00:00 AM,RESULTS,,1100,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2003-03-02,TURB,11:00:00 AM,Average,,3.73,NTU,SBCK,
GVWAT1,Creek Water,,2003-04-06,Conductivity,10:40:00 AM,Average,,2590,uS,SBCK,
GVWAT1,Creek Water,,2003-04-06,DO,10:40:00 AM,Average,,17.22,mg/L,SBCK,
GVWAT1,Creek Water,,2003-04-06,DO % Sat,10:40:00 AM,Average,,173.8,% Sat,SBCK,
GVWAT1,Creek Water,,2003-04-06,pH,10:40:00 AM,Average,,8.2,pH,SBCK,
GVWAT1,Creek Water,,2003-04-06,Temp,10:40:00 AM,Average,,15.9,Deg C,SBCK,
GVWAT1,Creek Water,,2003-04-06,Temp,10:40:00 AM,Average,,17.2,Deg C,SBCK,
GVWAT1,Creek Water,,2003-04-06,TURB,10:40:00 AM,Average,,2.18,NTU,SBCK,
GVWAT1,Creek Water,,2003-05-04,Conductivity,10:32:00 AM,Average,,587,uS,SBCK,major storm yesterday
GVWAT1,Creek Water,,2003-05-04,DO,10:32:00 AM,Average,,9.05,mg/L,SBCK,major storm yesterday
GVWAT1,Creek Water,,2003-05-04,DO % Sat,10:32:00 AM,Average,,88.2,% Sat,SBCK,major storm yesterday
GVWAT1,Creek Water,,2003-05-04,pH,10:32:00 AM,Average,,7.4,pH,SBCK,major storm yesterday
GVWAT1,Creek Water,,2003-05-04,Temp,10:32:00 AM,Average,,14.3,Deg C,SBCK,major storm yesterday
GVWAT1,Creek Water,,2003-05-04,Temp,10:32:00 AM,Average,,15.4,Deg C,SBCK,major storm yesterday
GVWAT1,Creek Water,,2003-05-04,TURB,10:32:00 AM,Average,,33.3,NTU,SBCK,major storm yesterday
GVWAT1,Creek Water,,2003-06-08,Conductivity,10:32:00 AM,Average,,2780,uS,SBCK,
GVWAT1,Creek Water,,2003-06-08,DO,10:32:00 AM,Average,,14.55,mg/L,SBCK,
GVWAT1,Creek Water,,2003-06-08,DO % Sat,10:32:00 AM,Average,,157.9,% Sat,SBCK,
GVWAT1,Creek Water,,2003-06-08,pH,10:32:00 AM,Average,,8,pH,SBCK,
GVWAT1,Creek Water,,2003-06-08,Temp,10:32:00 AM,Average,,18.9,Deg C,SBCK,
GVWAT1,Creek Water,,2003-06-08,Temp,10:10:00 AM,Average,,19.1,Deg C,SBCK,
GVWAT1,Creek Water,,2003-06-08,TURB,10:32:00 AM,Average,,0.41,NTU,SBCK,
GVWAT1,Creek Water,,2003-07-13,Conductivity,10:43:00 AM,Average,,3270,uS,SBCK,
GVWAT1,Creek Water,,2003-07-13,DO,10:43:00 AM,Average,,11.26,mg/L ppm,SBCK,
GVWAT1,Creek Water,,2003-07-13,DO % Sat,10:43:00 AM,Average,,129.17,% Sat,SBCK,
GVWAT1,Creek Water,,2003-07-13,pH,10:43:00 AM,Average,,8.3,pH,SBCK,
GVWAT1,Creek Water,,2003-07-13,Temp,10:43:00 AM,Average,,22.5,Deg C,SBCK,
GVWAT1,Creek Water,,2003-07-13,Temp,10:43:00 AM,Average,,22.7,Deg C,SBCK,
GVWAT1,Creek Water,,2003-07-13,TimeAtSite,10:43:00 AM,RESULTS,,1043,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2003-07-13,TURB,10:43:00 AM,Average,,0.47,NTU,SBCK,
GVWAT1,Creek Water,,2003-08-03,Conductivity,11:00:00 AM,Average,,4590,uS,SBCK,
GVWAT1,Creek Water,,2003-08-03,DO,11:00:00 AM,Average,,5.08,mg/L ppm,SBCK,
GVWAT1,Creek Water,,2003-08-03,DO % Sat,11:00:00 AM,Average,,61.5,% Sat,SBCK,
GVWAT1,Creek Water,,2003-08-03,pH,11:00:00 AM,Average,,7.7,pH,SBCK,
GVWAT1,Creek Water,,2003-08-03,Temp,11:00:00 AM,Average,,24.1,Deg C,SBCK,
GVWAT1,Creek Water,,2003-08-03,Temp,11:00:00 AM,Average,,24.2,Deg C,SBCK,
GVWAT1,Creek Water,,2003-08-03,TimeAtSite,11:00:00 AM,RESULTS,,1100,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2003-08-03,TURB,11:00:00 AM,Average,,1.04,NTU,SBCK,
GVWAT1,Creek Water,,2003-09-07,Conductivity,10:40:00 AM,Average,,3080,uS,SBCK,
GVWAT1,Creek Water,,2003-09-07,DO,10:40:00 AM,Average,,16.78,mg/L ppm,SBCK,
GVWAT1,Creek Water,,2003-09-07,DO % Sat,10:40:00 AM,Average,,190.5,% Sat,SBCK,
GVWAT1,Creek Water,,2003-09-07,pH,10:40:00 AM,Average,,8.1,pH,SBCK,
GVWAT1,Creek Water,,2003-09-07,Temp,10:40:00 AM,Average,,21.7,Deg C,SBCK,
GVWAT1,Creek Water,,2003-09-07,Temp,10:40:00 AM,Average,,22.1,Deg C,SBCK,
GVWAT1,Creek Water,,2003-09-07,TimeAtSite,10:40:00 AM,RESULTS,,1040,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2003-09-07,TURB,10:40:00 AM,Average,,9.36,NTU,SBCK,
GVWAT1,Creek Water,,2003-10-05,Conductivity,10:30:00 AM,Average,,2730,uS,SBCK,
GVWAT1,Creek Water,,2003-10-05,DO,10:30:00 AM,Average,,16.65,mg/L ppm,SBCK,
GVWAT1,Creek Water,,2003-10-05,DO % Sat,10:30:00 AM,Average,,174.3,% Sat,SBCK,
GVWAT1,Creek Water,,2003-10-05,pH,10:30:00 AM,Average,,8.2,pH,SBCK,
GVWAT1,Creek Water,,2003-10-05,Temp,10:30:00 AM,Average,,17.5,Deg C,SBCK,
GVWAT1,Creek Water,,2003-10-05,Temp,10:30:00 AM,Average,,17.6,Deg C,SBCK,
GVWAT1,Creek Water,,2003-10-05,TimeAtSite,10:30:00 AM,RESULTS,,1030,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2003-10-05,TURB,10:30:00 AM,Average,,88.8,NTU,SBCK,
GVWAT1,Creek Water,,2003-11-02,Conductivity,10:40:00 AM,Average,,874,uS,SBCK,
GVWAT1,Creek Water,,2003-11-02,DO,10:40:00 AM,Average,,1.1,mg/L ppm,SBCK,
GVWAT1,Creek Water,,2003-11-02,DO % Sat,10:40:00 AM,Average,,10.6,% Sat,SBCK,
GVWAT1,Creek Water,,2003-11-02,pH,10:40:00 AM,Average,,7.6,pH,SBCK,
GVWAT1,Creek Water,,2003-11-02,Temp,10:40:00 AM,Average,,12.1,Deg C,SBCK,
GVWAT1,Creek Water,,2003-11-02,Temp,10:40:00 AM,Average,,12.5,Deg C,SBCK,
GVWAT1,Creek Water,,2003-11-02,TimeAtSite,10:40:00 AM,RESULTS,,1040,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2003-11-02,TURB,10:40:00 AM,Average,,59,NTU,SBCK,
GVWAT1,Creek Water,,2003-12-07,Conductivity,10:30:00 AM,Average,,3900,uS,SBCK,
GVWAT1,Creek Water,,2003-12-07,DO,10:30:00 AM,Average,,13.13,mg/L ppm,SBCK,
GVWAT1,Creek Water,,2003-12-07,DO % Sat,10:30:00 AM,Average,,124.3,% Sat,SBCK,
GVWAT1,Creek Water,,2003-12-07,pH,10:30:00 AM,Average,,7.9,pH,SBCK,
GVWAT1,Creek Water,,2003-12-07,Temp,10:30:00 AM,Average,,13.1,Deg C,SBCK,
GVWAT1,Creek Water,,2003-12-07,Temp,10:30:00 AM,Average,,13.4,Deg C,SBCK,
GVWAT1,Creek Water,,2003-12-07,TimeAtSite,10:30:00 AM,RESULTS,,1030,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2003-12-07,TURB,10:30:00 AM,Average,,2.52,NTU,SBCK,
GVWAT1,Creek Water,,2004-01-11,Conductivity,11:10:00 AM,Average,,2380,uS,SBCK,
GVWAT1,Creek Water,,2004-01-11,DO,11:10:00 AM,Average,,12.28,mg/L ppm,SBCK,
GVWAT1,Creek Water,,2004-01-11,DO % Sat,11:10:00 AM,Average,,105,% Sat,SBCK,
GVWAT1,Creek Water,,2004-01-11,pH,11:10:00 AM,Average,,7.7,pH,SBCK,
GVWAT1,Creek Water,,2004-01-11,Temp,11:10:00 AM,Average,,8.3,Deg C,SBCK,
GVWAT1,Creek Water,,2004-01-11,Temp,11:10:00 AM,Average,,8.8,Deg C,SBCK,
GVWAT1,Creek Water,,2004-01-11,TimeAtSite,11:10:00 AM,RESULTS,,1110,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2004-01-11,TURB,11:10:00 AM,Average,,10.25,NTU,SBCK,
GVWAT1,Creek Water,,2004-02-08,Conductivity,10:50:00 AM,Average,,1717,uS,SBCK,
GVWAT1,Creek Water,,2004-02-08,DO,10:50:00 AM,Average,,12.16,mg/L ppm,SBCK,
GVWAT1,Creek Water,,2004-02-08,DO % Sat,10:50:00 AM,Average,,107.6,% Sat,SBCK,
GVWAT1,Creek Water,,2004-02-08,pH,10:50:00 AM,Average,,8,pH,SBCK,
GVWAT1,Creek Water,,2004-02-08,Temp,10:50:00 AM,Average,,9.8,Deg C,SBCK,
GVWAT1,Creek Water,,2004-02-08,Temp,10:50:00 AM,Average,,10.2,Deg C,SBCK,
GVWAT1,Creek Water,,2004-02-08,TimeAtSite,10:50:00 AM,RESULTS,,1050,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2004-02-08,TURB,10:50:00 AM,Average,,4.19,NTU,SBCK,
GVWAT1,Creek Water,,2004-03-07,Conductivity,11:50:00 AM,Average,,1758,uS,SBCK,
GVWAT1,Creek Water,,2004-03-07,DO,11:50:00 AM,Average,,9.21,mg/L ppm,SBCK,
GVWAT1,Creek Water,,2004-03-07,DO % Sat,11:50:00 AM,Average,,91.7,% Sat,SBCK,
GVWAT1,Creek Water,,2004-03-07,pH,11:50:00 AM,Average,,7.9,pH,SBCK,
GVWAT1,Creek Water,,2004-03-07,Temp,11:50:00 AM,Average,,14.7,Deg C,SBCK,
GVWAT1,Creek Water,,2004-03-07,Temp,11:50:00 AM,Average,,15.3,Deg C,SBCK,
GVWAT1,Creek Water,,2004-03-07,TimeAtSite,11:50:00 AM,RESULTS,,1150,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2004-03-07,TURB,11:50:00 AM,Average,,3.1,NTU,SBCK,
GVWAT1,Creek Water,,2004-04-04,Conductivity,11:00:00 AM,Average,,2550,uS,SBCK,
GVWAT1,Creek Water,,2004-04-04,DO,11:00:00 AM,Average,,14.55,mg/L ppm,SBCK,
GVWAT1,Creek Water,,2004-04-04,DO % Sat,11:00:00 AM,Average,,153.6,% Sat,SBCK,
GVWAT1,Creek Water,,2004-04-04,pH,11:00:00 AM,Average,,7.8,pH,SBCK,
GVWAT1,Creek Water,,2004-04-04,Temp,11:00:00 AM,Average,,17.9,Deg C,SBCK,
GVWAT1,Creek Water,,2004-04-04,Temp,11:00:00 AM,Average,,18.4,Deg C,SBCK,
GVWAT1,Creek Water,,2004-04-04,TimeAtSite,11:00:00 AM,RESULTS,,1100,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2004-04-04,TURB,11:00:00 AM,Average,,1.2,NTU,SBCK,
GVWAT1,Creek Water,,2004-05-02,Conductivity,10:30:00 AM,Average,,2640,uS,SBCK,
GVWAT1,Creek Water,,2004-05-02,DO,10:30:00 AM,Average,,10.09,mg/L ppm,SBCK,
GVWAT1,Creek Water,,2004-05-02,DO % Sat,10:30:00 AM,Average,,111.3,% Sat,SBCK,
GVWAT1,Creek Water,,2004-05-02,pH,10:30:00 AM,Average,,8.2,pH,SBCK,
GVWAT1,Creek Water,,2004-05-02,Temp,10:30:00 AM,Average,,19.5,Deg C,SBCK,
GVWAT1,Creek Water,,2004-05-02,Temp,10:30:00 AM,Average,,19.6,Deg C,SBCK,
GVWAT1,Creek Water,,2004-05-02,TimeAtSite,10:30:00 AM,RESULTS,,1030,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2004-05-02,TURB,10:30:00 AM,Average,,1.4,NTU,SBCK,
GVWAT1,Creek Water,,2004-06-06,Conductivity,10:40:00 AM,Average,,6910,uS,SBCK,
GVWAT1,Creek Water,,2004-06-06,DO,10:40:00 AM,Average,,5.03,mg/L,SBCK,
GVWAT1,Creek Water,,2004-06-06,DO % Sat,10:40:00 AM,Average,,57.4,% Sat,SBCK,
GVWAT1,Creek Water,,2004-06-06,pH,10:40:00 AM,Average,,7.8,pH,SBCK,
GVWAT1,Creek Water,,2004-06-06,Temp,10:40:00 AM,Average,,22.6,Deg C,SBCK,
GVWAT1,Creek Water,,2004-06-06,Temp,10:40:00 AM,Average,,22.8,Deg C,SBCK,
GVWAT1,Creek Water,,2004-06-06,TimeAtSite,10:40:00 AM,RESULTS,,1040,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2004-06-06,TURB,10:40:00 AM,Average,,2.3,NTU,SBCK,
GVWAT1,Creek Water,,2004-07-11,Conductivity,10:35:00 AM,Average,,7820,uS,SBCK,
GVWAT1,Creek water,,2004-07-11,DO,10:35:00 AM,Average,,10.52,mg/L ppm,SBCK,
GVWAT1,Creek Water,,2004-07-11,DO % Sat,10:35:00 AM,Average,,128.27,% Sat,SBCK,
GVWAT1,Creek Water,,2004-07-11,pH,10:35:00 AM,Average,,8.23,pH,SBCK,
GVWAT1,Creek Water,,2004-07-11,Temp,10:35:00 AM,Average,,21.2,Deg C,SBCK,
GVWAT1,Creek Water,,2004-07-11,Temp,10:35:00 AM,Average,,23.07,Deg C,SBCK,
GVWAT1,Creek Water,,2004-07-11,TimeAtSite,10:35:00 AM,RESULTS,,1035,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2004-07-11,TURB,10:35:00 AM,Average,,3.2,NTU,SBCK,
GVWAT1,Creek Water,,2004-08-08,Conductivity,10:45:00 AM,Average,,10720,uS,SBCK,
GVWAT1,Creek Water,,2004-08-08,DO,10:45:00 AM,Average,,11.62,mg/L ppm,SBCK,
GVWAT1,Creek Water,,2004-08-08,DO % Sat,10:45:00 AM,Average,,156,% Sat,SBCK,
GVWAT1,Creek Water,,2004-08-08,pH,10:45:00 AM,Average,,8.13,pH,SBCK,
GVWAT1,Creek Water,,2004-08-08,Temp,10:45:00 AM,Average,,24.13,Deg C,SBCK,
GVWAT1,Creek Water,,2004-08-08,Temp,10:45:00 AM,Average,,25.4,Deg C,SBCK,
GVWAT1,Creek Water,,2004-08-08,TimeAtSite,10:45:00 AM,RESULTS,,1045,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2004-08-08,TURB,10:45:00 AM,Average,,1.69,NTU,SBCK,
GVWAT1,Creek Water,,2004-09-12,Conductivity,10:27:00 AM,Average,,5440,uS,SBCK,
GVWAT1,Creek Water,,2004-09-12,DO,10:27:00 AM,Average,,7.79,mg/L ppm,SBCK,
GVWAT1,Creek Water,,2004-09-12,DO % Sat,10:27:00 AM,Average,,106.8,% Sat,SBCK,
GVWAT1,Creek Water,,2004-09-12,pH,10:27:00 AM,Average,,8.63,pH,SBCK,
GVWAT1,Creek Water,,2004-09-12,Temp,10:27:00 AM,Average,,23.1,Deg C,SBCK,
GVWAT1,Creek Water,,2004-09-12,Temp,10:27:00 AM,Average,,23.97,Deg C,SBCK,
GVWAT1,Creek Water,,2004-09-12,TimeAtSite,10:27:00 AM,RESULTS,,1027,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2004-09-12,TURB,10:27:00 AM,Average,,2.65,NTU,SBCK,
GVWAT1,Creek Water,,2004-10-03,Conductivity,10:48:00 AM,Average,,7820,uS,SBCK,
GVWAT1,Creek Water,,2004-10-03,DO,10:48:00 AM,Average,,7,mg/L ppm,SBCK,
GVWAT1,Creek Water,,2004-10-03,DO % Sat,10:48:00 AM,Average,,76.47,% Sat,SBCK,
GVWAT1,Creek Water,,2004-10-03,pH,10:48:00 AM,Average,,7.87,pH,SBCK,
GVWAT1,Creek Water,,2004-10-03,Temp,10:48:00 AM,Average,,19.6,Deg C,SBCK,
GVWAT1,Creek Water,,2004-10-03,Temp,10:48:00 AM,Average,,20.43,Deg C,SBCK,
GVWAT1,Creek Water,,2004-10-03,TimeAtSite,10:48:00 AM,RESULTS,,1048,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2004-10-03,TURB,10:48:00 AM,Average,,4.88,NTU,SBCK,
GVWAT1,Creek Water,,2004-11-07,Conductivity,10:33:00 AM,Average,,2350,uS,SBCK,
GVWAT1,Creek Water,,2004-11-07,DO,10:33:00 AM,Average,,6.68,mg/L ppm,SBCK,
GVWAT1,Creek Water,,2004-11-07,DO % Sat,10:33:00 AM,Average,,82.07,% Sat,SBCK,
GVWAT1,Creek Water,,2004-11-07,pH,10:33:00 AM,Average,,7.53,pH,SBCK,
GVWAT1,Creek Water,,2004-11-07,Temp,10:33:00 AM,Average,,12.23,Deg C,SBCK,
GVWAT1,Creek Water,,2004-11-07,Temp,10:33:00 AM,Average,,12.47,Deg C,SBCK,
GVWAT1,Creek Water,,2004-11-07,TimeAtSite,10:33:00 AM,RESULTS,,1033,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2004-11-07,TURB,10:33:00 AM,Average,,2.88,NTU,SBCK,
GVWAT1,Creek water,,2004-12-05,Conductivity,10:40:00 AM,Average,,3400,uS,SBCK,
GVWAT1,Creek water,,2004-12-05,DO,10:40:00 AM,Average,,10.93,mg/L ppm,SBCK,
GVWAT1,Creek water,,2004-12-05,DO % Sat,10:40:00 AM,,,120.3,% Sat,SBCK,
GVWAT1,Creek water,,2004-12-05,pH,10:40:00 AM,Average,,8.17,pH,SBCK,
GVWAT1,Creek water,,2004-12-05,Temp,10:40:00 AM,Average,,8.6,Deg C,SBCK,
GVWAT1,Creek water,,2004-12-05,Temp,10:40:00 AM,Average,,8.73,Deg C,SBCK,
GVWAT1,Creek water,,2004-12-05,TimeAtSite,10:40:00 AM,RESULTS,,1040,MilitaryTime,SBCK,
GVWAT1,Creek water,,2004-12-05,TURB,10:40:00 AM,Average,,2.67,NTU,SBCK,
GVWAT1,Creek water,,2005-01-09,Conductivity,1:25:00 PM,Average,,464,uS,SBCK,
GVWAT1,Creek water,,2005-01-09,DO,1:25:00 PM,Average,,10,mg/L ppm,SBCK,
GVWAT1,Creek water,,2005-01-09,DO % Sat,1:25:00 PM,Average,,96.9,% Sat,SBCK,
GVWAT1,Creek water,,2005-01-09,pH,1:25:00 PM,Average,,8.1,pH,SBCK,
GVWAT1,Creek water,,2005-01-09,Temp,1:25:00 PM,Average,,14.5,Deg C,SBCK,
GVWAT1,Creek water,,2005-01-09,TimeAtSite,1:25:00 PM,RESULTS,,1325,MilitaryTime,SBCK,
GVWAT1,Creek water,,2005-01-09,TURB,1:25:00 PM,Average,>,1100,NTU,SBCK,
GVWAT1,Creek water,,2005-02-06,Conductivity,10:45:00 AM,Average,,1475,uS,SBCK,
GVWAT1,Creek water,,2005-02-06,DO,10:45:00 AM,Average,,10.36,mg/L ppm,SBCK,
GVWAT1,Creek water,,2005-02-06,DO % Sat,10:45:00 AM,Average,,95.23,% Sat,SBCK,
GVWAT1,Creek water,,2005-02-06,pH,10:45:00 AM,Average,,8.1,pH,SBCK,
GVWAT1,Creek water,,2005-02-06,Temp,10:45:00 AM,Average,,11.5,Deg C,SBCK,
GVWAT1,Creek water,,2005-02-06,Temp,10:45:00 AM,Average,,11.6,Deg C,SBCK,
GVWAT1,Creek water,,2005-02-06,TimeAtSite,10:45:00 AM,RESULTS,,1045,MilitaryTime,SBCK,
GVWAT1,Creek water,,2005-02-06,TURB,10:45:00 AM,Average,,7.6,NTU,SBCK,
GVWAT1,Creek water,,2005-03-06,Conductivity,10:25:00 AM,Average,,1137,uS,SBCK,
GVWAT1,Creek water,,2005-03-06,DO,10:25:00 AM,Average,,10.29,mg/L ppm,SBCK,
GVWAT1,Creek water,,2005-03-06,DO % Sat,10:25:00 AM,Average,,98.3,% Sat,SBCK,
GVWAT1,Creek water,,2005-03-06,pH,10:25:00 AM,Average,,8.43,pH,SBCK,
GVWAT1,Creek water,,2005-03-06,Temp,10:25:00 AM,Average,,13.3,Deg C,SBCK,
GVWAT1,Creek water,,2005-03-06,Temp,10:25:00 AM,Average,,13.5,Deg C,SBCK,
GVWAT1,Creek water,,2005-03-06,TimeAtSite,10:25:00 AM,RESULTS,,1025,MilitaryTime,SBCK,
GVWAT1,Creek water,,2005-03-06,TURB,10:25:00 AM,Average,,15.3,NTU,SBCK,
GVWAT1,Creek water,,2005-04-03,Conductivity,10:23:00 AM,Average,,1269,uS,SBCK,
GVWAT1,Creek water,,2005-04-03,DO,10:23:00 AM,Average,,12.28,mg/L ppm,SBCK,
GVWAT1,Creek water,,2005-04-03,DO % Sat,10:23:00 AM,Average,,121.3,% Sat,SBCK,
GVWAT1,Creek water,,2005-04-03,pH,10:23:00 AM,Average,,8.43,pH,SBCK,
GVWAT1,Creek water,,2005-04-03,Temp,10:23:00 AM,Average,,14.4,Deg C,SBCK,
GVWAT1,Creek water,,2005-04-03,Temp,10:23:00 AM,Average,,14.8,Deg C,SBCK,
GVWAT1,Creek water,,2005-04-03,TimeAtSite,10:23:00 AM,RESULTS,,1023,MilitaryTime,SBCK,
GVWAT1,Creek water,,2005-04-03,TURB,10:23:00 AM,Average,,3.17,NTU,SBCK,
GVWAT1,Creek water,,2005-05-08,Conductivity,10:40:00 AM,Average,,1162,uS,SBCK,
GVWAT1,Creek water,,2005-05-08,DO,10:40:00 AM,Average,,9.38,mg/L ppm,SBCK,
GVWAT1,Creek water,,2005-05-08,DO % Sat,10:40:00 AM,Average,,96.9,% Sat,SBCK,
GVWAT1,Creek water,,2005-05-08,pH,10:40:00 AM,Average,,8.17,pH,SBCK,
GVWAT1,Creek water,,2005-05-08,Temp,10:40:00 AM,Average,,17.3,Deg C,SBCK,
GVWAT1,Creek water,,2005-05-08,Temp,10:40:00 AM,Average,,17.7,Deg C,SBCK,
GVWAT1,Creek water,,2005-05-08,TimeAtSite,10:40:00 AM,RESULTS,,1040,MilitaryTime,SBCK,
GVWAT1,Creek water,,2005-05-08,TURB,10:40:00 AM,Average,,9.45,NTU,SBCK,
GVWAT1,Creek water,,2005-06-05,Conductivity,10:30:00 AM,Average,,1613,uS,SBCK,
GVWAT1,Creek water,,2005-06-05,DO,10:30:00 AM,Average,,9.3,mg/L ppm,SBCK,
GVWAT1,Creek water,,2005-06-05,DO % Sat,10:30:00 AM,Average,,111.2,% Sat,SBCK,
GVWAT1,Creek water,,2005-06-05,pH,10:30:00 AM,Average,,8.15,pH,SBCK,
